Price,Adj Close,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,,
2023-10-04,64168.92578125,67500.0,67700.0,66700.0,67400.0,23361149
2023-10-05,63408.40234375,66700.0,67400.0,66700.0,67300.0,16108313
2023-10-06,62742.9453125,66000.0,67300.0,66000.0,67100.0,14386527
2023-10-10,63123.203125,66400.0,67600.0,66200.0,66200.0,19889202
2023-10-11,64834.375,68200.0,69400.0,67900.0,68600.0,25209349
2023-10-12,65499.828125,68900.0,69700.0,68200.0,68600.0,19311380
2023-10-13,64644.23828125,68000.0,68500.0,67700.0,68000.0,9724086
2023-10-16,63978.7890625,67300.0,68500.0,66800.0,67900.0,12599299
2023-10-17,65975.1640625,69400.0,69900.0,67400.0,67700.0,17299253
2023-10-18,67020.8828125,70500.0,70500.0,68800.0,68900.0,16493184
2023-10-19,66070.21875,69500.0,70000.0,69400.0,69700.0,13985012
2023-10-20,65404.76953125,68800.0,69200.0,68100.0,68900.0,15204495
2023-10-23,65024.5078125,68400.0,69100.0,68200.0,68700.0,11625959
2023-10-24,65119.57421875,68500.0,68800.0,67700.0,68700.0,12791710
2023-10-25,64644.23828125,68000.0,68800.0,67900.0,68800.0,10610703
2023-10-26,63408.40234375,66700.0,67900.0,66700.0,67000.0,15517624
2023-10-27,63978.7890625,67300.0,67300.0,66700.0,67100.0,11334726
2023-10-30,63978.7890625,67300.0,67800.0,66700.0,66800.0,10139270
2023-10-31,63598.53125,66900.0,68300.0,66900.0,67600.0,14488892
2023-11-01,65214.63671875,68600.0,68900.0,67300.0,67500.0,13775256
2023-11-02,66260.3671875,69700.0,70000.0,69400.0,70000.0,16350031
2023-11-03,66165.28125,69600.0,70200.0,69500.0,69700.0,10322234
2023-11-06,67401.1328125,70900.0,70900.0,69300.0,69800.0,22228489
2023-11-07,67401.1328125,70900.0,70900.0,70000.0,70600.0,17228731
2023-11-08,66450.4765625,69900.0,71400.0,69700.0,71300.0,12901310
2023-11-09,66830.75,70300.0,70800.0,69600.0,69900.0,12301373
2023-11-10,67020.8828125,70500.0,70500.0,69500.0,70000.0,9684347
2023-11-13,66925.8125,70400.0,71300.0,70300.0,71300.0,9246919
2023-11-14,67306.0625,70800.0,71100.0,70600.0,71000.0,9567984
2023-11-15,68636.9765625,72200.0,72200.0,71500.0,71600.0,20148677
2023-11-16,69207.3671875,72800.0,73000.0,72300.0,72500.0,15860451
2023-11-17,68922.171875,72500.0,73000.0,72300.0,72300.0,11494644
2023-11-20,69112.3046875,72700.0,73000.0,72100.0,72100.0,10610157
2023-11-21,69207.3671875,72800.0,73400.0,72700.0,73100.0,9712881
2023-11-22,69207.3671875,72800.0,73000.0,71900.0,72200.0,11105143
2023-11-23,68827.125,72400.0,73200.0,72200.0,73000.0,6775614
2023-11-24,68161.6640625,71700.0,72600.0,71700.0,72400.0,6676685
2023-11-27,67781.3984375,71300.0,72100.0,71100.0,71500.0,9113857
2023-11-28,69112.3046875,72700.0,72700.0,71300.0,71400.0,13283081
2023-11-29,69112.3046875,72700.0,72800.0,72200.0,72400.0,9283933
2023-11-30,69207.3671875,72800.0,72800.0,72200.0,72700.0,15783714
2023-12-01,68446.8515625,72000.0,72500.0,71700.0,72400.0,9871284
2023-12-04,69017.234375,72600.0,72900.0,72400.0,72800.0,10229267
2023-12-05,67686.3203125,71200.0,72400.0,71200.0,72300.0,12129682
2023-12-06,68161.6640625,71700.0,72100.0,71600.0,71800.0,8123087
2023-12-07,67971.515625,71500.0,71900.0,71100.0,71800.0,8862017
2023-12-08,69017.234375,72600.0,72800.0,71900.0,72100.0,10859463
2023-12-11,69397.5,73000.0,73000.0,72200.0,72800.0,9861960
2023-12-12,69872.828125,73500.0,73500.0,73100.0,73300.0,13758646
2023-12-13,69207.3671875,72800.0,73500.0,72800.0,73300.0,13116766
2023-12-14,69492.5625,73100.0,74300.0,72500.0,74100.0,27567593
2023-12-15,69682.6875,73300.0,74000.0,73200.0,73800.0,15419815
2023-12-18,69302.4296875,72900.0,73400.0,72800.0,73300.0,9690551
2023-12-19,69777.7578125,73400.0,73400.0,72800.0,73000.0,8907632
2023-12-20,71108.671875,74800.0,74900.0,73800.0,74200.0,16870156
2023-12-21,71298.796875,75000.0,75000.0,74300.0,74600.0,13478766
2023-12-22,72154.3984375,75900.0,76300.0,75400.0,75800.0,14515608
2023-12-26,72819.8359375,76600.0,76700.0,75700.0,76100.0,13164909
2023-12-27,74501.859375,78000.0,78000.0,76500.0,76700.0,20651042
2023-12-28,74979.4453125,78500.0,78500.0,77500.0,77700.0,17797536
2024-01-02,76030.109375,79600.0,79800.0,78200.0,78200.0,17142847
2024-01-03,73546.703125,77000.0,78800.0,77000.0,78500.0,21753644
2024-01-04,73164.65625,76600.0,77300.0,76100.0,76100.0,15324439
2024-01-05,73164.65625,76600.0,77100.0,76400.0,76700.0,11304316
2024-01-08,73069.140625,76500.0,77500.0,76400.0,77000.0,11088724
2024-01-09,71349.8515625,74700.0,77700.0,74300.0,77400.0,26019249
2024-01-10,70299.1953125,73600.0,75200.0,73200.0,75000.0,20259529
2024-01-11,69917.1484375,73200.0,73600.0,72700.0,72900.0,57691266
2024-01-12,69821.625,73100.0,74100.0,72800.0,73000.0,13038939
2024-01-15,70585.7421875,73900.0,74000.0,73200.0,73200.0,2957915
2024-01-16,69344.03125,72600.0,73700.0,72500.0,73500.0,14760415
2024-01-17,67815.8046875,71000.0,73300.0,71000.0,73100.0,22683660
2024-01-18,68484.40625,71700.0,72000.0,70700.0,71600.0,17853397
2024-01-19,71349.8515625,74700.0,74700.0,73000.0,73500.0,23363427
2024-01-22,71731.9296875,75100.0,76000.0,75000.0,75900.0,19673375
2024-01-23,71827.453125,75200.0,75800.0,74300.0,75700.0,14786224
2024-01-24,70681.2734375,74000.0,75200.0,73500.0,75200.0,12860661
2024-01-25,70776.7734375,74100.0,74800.0,73700.0,74200.0,11737747
2024-01-26,70108.1640625,73400.0,74500.0,73300.0,73700.0,11160062
2024-01-29,71063.3125,74400.0,75200.0,73500.0,73800.0,13976521
2024-01-30,70967.8046875,74300.0,75300.0,73700.0,75000.0,12244418
2024-01-31,69439.5625,72700.0,74000.0,72500.0,73400.0,15703560
2024-02-01,70299.1953125,73600.0,74200.0,72900.0,73000.0,19881033
2024-02-02,71827.453125,75200.0,75200.0,73700.0,74000.0,14955881
2024-02-05,70967.8046875,74300.0,74800.0,73500.0,74200.0,19026021
2024-02-06,71063.3125,74400.0,74700.0,73300.0,74300.0,14559254
2024-02-07,71636.4140625,75000.0,75500.0,74300.0,74600.0,16566445
2024-02-08,70776.7734375,74100.0,75200.0,73600.0,75000.0,20810708
2024-02-13,71827.453125,75200.0,75200.0,74400.0,74800.0,21966745
2024-02-14,70681.2734375,74000.0,74300.0,73700.0,73700.0,12434945
2024-02-15,69917.1484375,73200.0,74400.0,73000.0,74200.0,14120600
2024-02-16,69535.078125,72800.0,73400.0,72500.0,73300.0,13444781
2024-02-19,70490.21875,73800.0,73900.0,72800.0,72800.0,12726404
2024-02-20,70012.6484375,73300.0,73700.0,72800.0,73700.0,14681477
2024-02-21,69726.1015625,73000.0,73700.0,72900.0,73400.0,11503495
2024-02-22,69821.625,73100.0,73900.0,72700.0,73800.0,15208934
2024-02-23,69630.5859375,72900.0,74200.0,72900.0,73600.0,16225166
2024-02-26,69535.078125,72800.0,73200.0,72200.0,72300.0,14669352
2024-02-27,69630.5859375,72900.0,73400.0,72700.0,73100.0,13201981
2024-02-28,69917.1484375,73200.0,73900.0,72800.0,72900.0,11795859
2024-02-29,70108.1640625,73400.0,73400.0,72000.0,72600.0,21176403
2024-03-04,71540.90625,74900.0,75000.0,74000.0,74300.0,23210474
2024-03-05,70394.71875,73700.0,74800.0,73700.0,74600.0,19505125
2024-03-06,69630.5859375,72900.0,73500.0,72700.0,73200.0,21547905
2024-03-07,68961.984375,72200.0,73300.0,72200.0,73100.0,14516963
2024-03-08,70012.6484375,73300.0,73400.0,72600.0,72800.0,19271349
2024-03-11,69153.0234375,72400.0,73100.0,72300.0,72900.0,9740504
2024-03-12,70012.6484375,73300.0,73500.0,72100.0,72600.0,13011654
2024-03-13,70776.7734375,74100.0,74100.0,73500.0,73700.0,15243134
2024-03-14,70967.8046875,74300.0,74500.0,73600.0,74400.0,22545539
2024-03-15,69057.5078125,72300.0,73700.0,72300.0,73400.0,22580555
2024-03-18,69535.078125,72800.0,73000.0,72500.0,72600.0,11520348
2024-03-19,69535.078125,72800.0,73000.0,71700.0,72300.0,15376066
2024-03-20,73451.203125,76900.0,77200.0,73400.0,73700.0,50106297
2024-03-21,75743.5625,79300.0,79300.0,77700.0,79200.0,44569799
2024-03-22,75361.5078125,78900.0,79900.0,77800.0,79600.0,26724761
2024-03-25,74692.8984375,78200.0,79800.0,77800.0,79600.0,18703996
2024-03-26,76316.65625,79900.0,80100.0,79200.0,79700.0,30551494
2024-03-27,76221.140625,79800.0,80000.0,79200.0,79200.0,17424595
2024-03-28,77527.0078125,80800.0,81000.0,79200.0,79400.0,25084812
2024-03-29,79062.203125,82400.0,82500.0,80900.0,81200.0,27126366
2024-04-01,78678.3984375,82000.0,83300.0,82000.0,83200.0,20116513
2024-04-02,81556.875,85000.0,85000.0,82900.0,82900.0,37077944
2024-04-03,80693.3359375,84100.0,85000.0,83500.0,84300.0,30493347
2024-04-04,81844.7265625,85300.0,85500.0,84300.0,85200.0,25248934
2024-04-05,81077.140625,84500.0,85000.0,83800.0,84500.0,18883752
2024-04-08,81077.140625,84500.0,86000.0,84500.0,85200.0,18953232
2024-04-09,80213.59375,83600.0,84900.0,83100.0,84500.0,23725956
2024-04-11,80693.3359375,84100.0,84700.0,82500.0,83200.0,25538009
2024-04-12,80309.5390625,83700.0,84900.0,83200.0,84700.0,17061770
2024-04-15,78870.3046875,82200.0,83200.0,81200.0,82900.0,26663772
2024-04-16,76759.421875,80000.0,81300.0,79400.0,81200.0,31949845
2024-04-17,75703.9765625,78900.0,80800.0,78900.0,80700.0,22611631
2024-04-18,76375.6171875,79600.0,80100.0,78300.0,78800.0,21370190
2024-04-19,74456.6328125,77600.0,78700.0,76300.0,78300.0,31317563
2024-04-22,73017.3828125,76100.0,77500.0,75100.0,77400.0,30469477
2024-04-23,72441.7109375,75500.0,76800.0,75500.0,76400.0,18717699
2024-04-24,75416.140625,78600.0,78800.0,77200.0,77500.0,22166150
2024-04-25,73209.2890625,76300.0,77500.0,76300.0,77300.0,15549134
2024-04-26,73593.09375,76700.0,77900.0,76500.0,77800.0,12755629
2024-04-29,73593.09375,76700.0,77600.0,76200.0,77400.0,14664474
2024-04-30,74360.6875,77500.0,78500.0,76600.0,77000.0,19007007
2024-05-02,74840.421875,78000.0,78600.0,77300.0,77600.0,18900640
2024-05-03,74456.6328125,77600.0,79000.0,77500.0,79000.0,13151889
2024-05-07,78006.7734375,81300.0,81300.0,79400.0,79600.0,26238868
2024-05-08,78006.7734375,81300.0,81400.0,80500.0,80800.0,13089576
2024-05-09,76471.5703125,79700.0,81500.0,79700.0,81100.0,18759935
2024-05-10,75991.8125,79200.0,81100.0,78900.0,80400.0,16976124
2024-05-13,75224.2265625,78400.0,79900.0,77600.0,79400.0,18652344
2024-05-14,75128.2890625,78300.0,78800.0,77900.0,78600.0,11763992
2024-05-16,75032.328125,78200.0,80300.0,78100.0,80200.0,20989778
2024-05-17,74264.7265625,77400.0,78800.0,77200.0,78600.0,15918201
2024-05-20,75703.9765625,78900.0,79100.0,77900.0,78100.0,19456783
2024-05-21,75224.2265625,78400.0,79000.0,78200.0,78500.0,13690583
2024-05-22,74552.578125,77700.0,78700.0,77300.0,78100.0,19521506
2024-05-23,75128.2890625,78300.0,79100.0,77100.0,77700.0,18728087
2024-05-24,72825.5078125,75900.0,77000.0,75700.0,76800.0,27891278
2024-05-27,74072.84375,77200.0,78200.0,74000.0,75300.0,43825202
2024-05-28,74456.6328125,77600.0,78000.0,76200.0,76500.0,18539072
2024-05-29,72153.8671875,75200.0,78200.0,75200.0,77700.0,30244875
2024-05-30,70522.71875,73500.0,75200.0,73500.0,74800.0,28551273
2024-05-31,70522.71875,73500.0,74700.0,73500.0,74500.0,26198776
2024-06-03,72633.5859375,75700.0,76400.0,74200.0,74400.0,15706268
2024-06-04,72249.7890625,75300.0,76100.0,74900.0,74900.0,14098053
2024-06-05,74264.7265625,77400.0,78000.0,76800.0,78000.0,23177968
2024-06-07,74168.78125,77300.0,78600.0,77100.0,78400.0,21189349
2024-06-10,72633.5859375,75700.0,76600.0,75600.0,76100.0,14598755
2024-06-11,72153.8671875,75200.0,76000.0,75100.0,75900.0,16971175
2024-06-12,73401.1953125,76500.0,77100.0,75200.0,75300.0,19246725
